,p,i,q,P,D,Q,score
624,2,1,2,0,2,1,0.916240775793291
383,1,1,2,0,2,1,0.9157077886115533
352,1,1,1,0,1,0,0.9155538328856909
111,0,1,1,0,1,0,0.9154386123786377
138,0,1,2,0,1,0,0.9153768996885806
88,0,1,0,0,2,1,0.9153311406938718
491,2,0,0,0,2,1,0.9144263403058204
61,0,0,2,0,2,1,0.9138891376751176
248,1,0,0,0,2,1,0.9135933531776471
34,0,0,1,0,2,1,0.9134070658195872
7,0,0,0,0,2,1,0.9133654244793197
598,2,1,1,0,2,1,0.9130979078360073
36,0,0,1,1,0,0,0.9121415648403245
356,1,1,1,0,2,1,0.9120704591104186
115,0,1,1,0,2,1,0.9120130227840227
142,0,1,2,0,2,1,0.9118702987593905
217,0,2,2,0,1,0,0.9105696138119735
250,1,0,0,1,0,0,0.9099338742131169
448,1,2,1,2,0,0,0.9092483851314456
63,0,0,2,1,0,0,0.9092003508088252
460,1,2,2,0,1,0,0.9091983098996339
334,1,1,0,1,1,0,0.9086938435700622
442,1,2,1,1,1,0,0.907744588714891
340,1,1,0,2,0,0,0.9075416952777491
338,1,1,0,1,2,1,0.9075224324532896
126,0,1,1,2,0,0,0.9051003186290482
221,0,2,2,0,2,1,0.9048410705409788
493,2,0,0,1,0,0,0.9048100141896778
473,1,2,2,1,2,1,0.9044011554023428
482,1,2,2,2,2,1,0.9033561792384607
277,1,0,1,1,0,0,0.9028196482118517
304,1,0,2,1,0,0,0.9026333324639813
213,0,2,1,2,2,2,0.8997322549246354
196,0,2,1,0,2,2,0.8982113583550677
582,2,1,0,2,0,0,0.8979142546178686
205,0,2,1,1,2,2,0.8970022916446178
688,2,2,1,2,0,0,0.8965297928141196
117,0,1,1,1,0,0,0.8907624226561681
385,1,1,2,1,0,0,0.8902693822879676
446,1,2,1,1,2,1,0.8880380970182129
144,0,1,2,1,0,0,0.8798373677407786
464,1,2,2,0,2,1,0.8795015202158992
477,1,2,2,2,0,2,0.8759441120901746
520,2,0,1,1,0,0,0.8757085804531023
358,1,1,1,1,0,0,0.8753126049960768
223,0,2,2,1,0,0,0.874724001353045
626,2,1,2,1,0,0,0.8737930221573369
600,2,1,1,1,0,0,0.8720162577080854
679,2,2,1,1,0,0,0.8680268189581533
325,1,1,0,0,1,0,0.866559665476891
573,2,1,0,1,0,0,0.8663839345643736
329,1,1,0,0,2,1,0.8663026573437219
706,2,2,2,1,1,0,0.8662951981324818
433,1,2,1,0,1,0,0.8654625467621979
466,1,2,2,1,0,0,0.8610345792271714
576,2,1,0,1,1,0,0.8550738247402596
580,2,1,0,1,2,1,0.8478717673709282
682,2,2,1,1,1,0,0.8470761323827415
710,2,2,2,1,2,1,0.8429235480319784
704,2,2,2,1,0,0,0.8375511549374491
437,1,2,1,0,2,1,0.8347508209056294
686,2,2,1,1,2,1,0.8268351013947675
567,2,1,0,0,1,0,0.8195132911546574
571,2,1,0,0,2,1,0.8125834673200546
544,2,0,2,0,2,0,0.8125008197175233
673,2,2,1,0,1,0,0.8110433723125384
105,0,1,0,2,2,0,0.8053741905278031
211,0,2,1,2,2,0,0.8031146936328386
618,2,1,2,0,0,1,0.7946524693410721
619,2,1,2,0,0,2,0.786998511866679
617,2,1,2,0,0,0,0.7859307215323031
677,2,2,1,0,2,1,0.7848125100914132
698,2,2,2,0,1,0,0.7759352300832048
439,1,2,1,1,0,0,0.7718225492524506
331,1,1,0,1,0,0,0.7695970693948043
400,1,1,2,2,2,0,0.7651759684755871
640,2,1,2,2,2,0,0.7651369621867956
292,1,0,1,2,2,0,0.7602231583541286
535,2,0,1,2,2,0,0.7595868331383919
319,1,0,2,2,2,0,0.759392484341594
614,2,1,1,2,2,0,0.7560632107860649
508,2,0,0,2,2,0,0.7538689431688014
373,1,1,1,2,2,0,0.7527525512093749
206,0,2,1,2,0,0,0.7526143829096735
158,0,1,2,2,2,0,0.752130703107705
78,0,0,2,2,2,0,0.7517715562082656
24,0,0,0,2,2,0,0.7508059433477923
265,1,0,0,2,2,0,0.750768694066952
51,0,0,1,2,2,0,0.7501552199337328
561,2,0,2,2,2,0,0.7496025869040501
132,0,1,1,2,2,0,0.747576466339639
238,0,2,2,2,2,0,0.7473665150331892
99,0,1,0,2,0,0,0.7463621394810489
651,2,2,0,0,2,2,0.7439889884095134
702,2,2,2,0,2,1,0.7378846364195153
481,1,2,2,2,2,0,0.7320455246579953
346,1,1,0,2,2,0,0.7187331978852172
454,1,2,1,2,2,0,0.7090262966351848
660,2,2,0,1,2,2,0.6700798754268118
553,2,0,2,1,2,0,0.6538684174737825
669,2,2,0,2,2,2,0.6462709303226873
588,2,1,0,2,2,0,0.6361493370998872
716,2,2,2,2,2,0,0.6342987926837667
692,2,2,1,2,2,0,0.6322814961871541
283,1,0,1,1,2,0,0.6188580022682604
526,2,0,1,1,2,0,0.6177095228372766
310,1,0,2,1,2,0,0.6170776939426057
391,1,1,2,1,2,0,0.6169614915920745
632,2,1,2,1,2,0,0.6160404932256053
606,2,1,1,1,2,0,0.6156493099946665
123,0,1,1,1,2,0,0.6131403712926036
472,1,2,2,1,2,0,0.6124573946806504
499,2,0,0,1,2,0,0.6122451928135657
364,1,1,1,1,2,0,0.6122036066975454
229,0,2,2,1,2,0,0.6117950655015832
150,0,1,2,1,2,0,0.6116636445872314
69,0,0,2,1,2,0,0.6095833782409978
15,0,0,0,1,2,0,0.6094840851664431
256,1,0,0,1,2,0,0.6087378193956793
42,0,0,1,1,2,0,0.608144876510194
96,0,1,0,1,2,0,0.5890014490065205
203,0,2,1,1,2,0,0.5603396041063043
274,1,0,1,0,2,0,0.5484713548880622
517,2,0,1,0,2,0,0.5484203353369084
301,1,0,2,0,2,0,0.5483008584694913
220,0,2,2,0,2,0,0.5476245163163428
597,2,1,1,0,2,0,0.5472735023659697
114,0,1,1,0,2,0,0.5470846306436299
355,1,1,1,0,2,0,0.5467923183788795
141,0,1,2,0,2,0,0.5466029633598786
463,1,2,2,0,2,0,0.5460157970174476
60,0,0,2,0,2,0,0.5449671277135302
490,2,0,0,0,2,0,0.5448165070981361
6,0,0,0,0,2,0,0.5445142355716244
247,1,0,0,0,2,0,0.5442002981555341
33,0,0,1,0,2,0,0.5440040490728679
623,2,1,2,0,2,0,0.5391866651289321
382,1,1,2,0,2,0,0.5389415424846631
570,2,1,0,0,2,0,0.3708159474589289
676,2,2,1,0,2,0,0.3533326241239252
328,1,1,0,0,2,0,0.26748701481604886
436,1,2,1,0,2,0,0.23613077642131053
647,2,2,0,0,1,1,0.22542858687200562
653,2,2,0,1,0,1,0.1512291220826829
90,0,1,0,1,0,0,0.14879165126849025
701,2,2,2,0,2,0,0.1482882412263311
197,0,2,1,1,0,0,0.13001131063629667
665,2,2,0,2,1,1,0.1249707359036798
648,2,2,0,0,1,2,0.12362377693015714
657,2,2,0,1,1,2,0.11263256780949693
656,2,2,0,1,1,1,0.1089141308703091
663,2,2,0,2,0,2,0.09902443759874835
666,2,2,0,2,1,2,0.03416738423844046
662,2,2,0,2,0,1,0.02668526501631774
